Label,Name,Integration_Value__c,Country__c
Aguascalientes,Aguascalientes,Aguascalientes,Mexico
Baja California Norte,Baja_California_Norte,Baja California Norte,Mexico
Baja California Sur,Baja_California_Sur,Baja California Sur,Mexico
Chihuahua,Chihuahua,Chihuahua,Mexico
Colima,Colima,Colima,Mexico
Campeche,Campeche,Campeche,Mexico
Coahuila,Coahuila,Coahuila,Mexico
Chiapas,Chiapas,Chiapas,Mexico
Distrito Federal,Distrito_Federal,Distrito Federal,Mexico
Durango,Durango,Durango,Mexico
Guerrero,Guerrero,Guerrero,Mexico
Guanajuato,Guanajuato,Guanajuato,Mexico
Hidalgo,Hidalgo,Hidalgo,Mexico
Jalisco,Jalisco,Jalisco,Mexico
Michoacan,Michoacan,Michoacan,Mexico
Morelos,Morelos,Morelos,Mexico
Nayarit,Nayarit,Nayarit,Mexico
Nuevo Leon,Nuevo_Leon,Nuevo Leon,Mexico
Oaxaca,Oaxaca,Oaxaca,Mexico
Puebla,Puebla,Puebla,Mexico
Quintana Roo,Quintana_Roo,Quintana Roo,Mexico
Queretaro,Queretaro,Queretaro,Mexico
Sinaloa,Sinaloa,Sinaloa,Mexico
San Luis Potosi,San_Luis_Potosi,San Luis Potosi,Mexico
Sonora,Sonora,Sonora,Mexico
Tabasco,Tabasco,Tabasco,Mexico
Tlaxcala,Tlaxcala,Tlaxcala,Mexico
Tamaulipas,Tamaulipas,Tamaulipas,Mexico
Veracruz,Veracruz,Veracruz,Mexico
Yucatan,Yucatan,Yucatan,Mexico
Zacatecas,Zacatecas,Zacatecas,Mexico
